Title,Price,Area,address,type,area_value,price_value_trieu,price_per_m2_final,House_number,Street,Ward,District,City,progress,cleaned_street
"CHO THUÊ NHÀ MẶT TIỀN 218A THÀNH THÁI, PHƯỜNG 15, QUẬN 10, TP.HCM.",Giá: 14 triệu/tháng,Diện tích: 34 m²,"Phạm Ngũ Lão, Phường An Hòa, Quận Ninh Kiều, Cần Thơ",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,34.0,14.0,411764.70588235295,,Đường Phạm Ngũ Lão,Phường An Hòa,Quận Ninh Kiều,Cần Thơ,True,Đường Phạm Ngũ Lão
CHO THUÊ NHÀ 2 LẦU MẶT TIỀN PHẠM NGŨ LÃO NGÃ BA TRẦN VIỆT CHÂU,Giá: 40 triệu/tháng,Diện tích: 221 m²,"Đường Tân Lập, Phường Đông Hòa, Dĩ An, Bình Dương",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,221.0,40.0,180995.47511312217,,Đường Tân Lập,Phường Đông Hòa,Dĩ An,Bình Dương,True,Đường Tân Lập
CHO THUÊ MẶT BẰNG KINH DOANH MẶT TIỀN ĐƯỜNG LỚN TÂN LẬP DĨ AN BÌNH DƯƠNG,Giá: 60 triệu/tháng,Diện tích: 52 m²,"Phường Hàng Bồ, Hoàn Kiếm, Hà Nội",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,52.0,60.0,1153846.1538461538,,,Phường Hàng Bồ,Quận Hoàn Kiếm,Hà Nội,True,Đường 
"NHÀ MỚI XÂY PHỐ CỔ CHO THUÊ MẶT TIỀN LÀM CAFE, CỬA HÀNG",Giá: 30 triệu/tháng,Diện tích: 140 m²,"17/1, Phan Văn Hớn, Xã Bà Điểm, Huyện Hóc Môn, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,140.0,30.0,214285.7142857143,17/1,Đường Phan Văn Hớn,Xã Bà Điểm,Huyện Hóc Môn,Hồ Chí Minh,True,Đường Phan Văn Hớn
CHO THUÊ MẶT BẰNG MẶT TIỀN 17/1 PHAN VĂN HỚN HUYỆN HÓC MÔN. NGANG 10M,Giá: 90 triệu/tháng,Diện tích: 140 m²,"65Bis, Mạc Đĩnh Chi, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,140.0,90.0,642857.1428571428,65BIS,Đường Mạc Đĩnh Chi,Phường Đa Kao,Quận 1,Hồ Chí Minh,True,Đường Mạc Đĩnh Chi
CHO THUÊ MẶT BẰNG MẶT TIỀN 65BIS MẠC ĐĨNH CHI QUẬN 1. NGANG 16M,Giá: 22 triệu/tháng,Diện tích: 240 m²,"Quốc lộ 1, Phường Tân Thới Hiệp, Quận 12, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,240.0,22.0,91666.66666666669,,,Phường Tân Thới Hiệp,Quận 12,Hồ Chí Minh,True,Đường 
CHO THUÊ NHÀ XƯỞNG 8X30 MẶT TIỀN QUỐC LỘ 1A,Giá: 7 triệu/tháng,Diện tích: 20 m²,"Trần Quốc Vượng, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,20.0,7.0,350000.0,,Phố Trần Quốc Vượng,Phường Dịch Vọng Hậu,Quận Cầu Giấy,Hà Nội,True,Phố Trần Quốc Vượng
CHO THUÊ CỬA HÀNG,Giá: 15 triệu/tháng,Diện tích: 70 m²,"Nguyễn Oanh, Phường 17, Quận Gò Vấp, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,70.0,15.0,214285.7142857143,,Đường Nguyễn Oanh,Phường 17,Quận Gò Vấp,Hồ Chí Minh,True,Đường Nguyễn Oanh
CHO THUÊ MB MẶT TIỀN NGUYỄN OANH. P17. GÒ VẤP,Giá: 25 triệu/tháng,Diện tích: 110 m²,"Đường Trần Phú, Phường 7, Quận 5, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,110.0,25.0,227272.7272727273,,Đường Trần Phú,Phường 7,Quận 5,Hồ Chí Minh,True,Đường Trần Phú
"HOT- MẶT TIỀN TRẦN PHÚ - 10M X 11M- 1 TRỆT- PHƯỜNG 08, QUẬN 5- 25TR",Giá: 25 triệu/tháng,Diện tích: 160 m²,"Đường Trần Phú, Phường 7, Quận 5, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,160.0,25.0,156250.0,,Đường Trần Phú,Phường 7,Quận 5,Hồ Chí Minh,True,Đường Trần Phú
SIÊU PHẨM MẶT TIỀN TRẦN PHÚ QUẬN 5 DIỆN TÍCH: 10X15M,Giá: 130 triệu,Diện tích: 1100 m²,"Tạ Hiện, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,1100.0,130.0,118181.81818181818,,,Phường An Phú,Thủ Đức,Hồ Chí Minh,True,Đường 
TÒA NHÀ MẶT TIỀN TRUNG TÂM Q2 HẦM 7 LẦU 1100M² SÀN PPCC ĐẦY ĐỦ,Giá: 40 triệu/tháng,Diện tích: 80 m²,"Nguyễn Đình Chiểu, Phường 5, Quận 3, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,80.0,40.0,500000.0,,Đường Nguyễn Đình Chiểu,Phường 5,Quận 3,Hồ Chí Minh,True,Đường Nguyễn Đình Chiểu
"CHO THUÊ CỬA HÀNG, KI ỐT TẠI VIỆT NAM",Giá: 35 triệu/tháng,Diện tích: 80 m²,"Đường Tạ Quang Bửu, Phường 5, Quận 8, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,80.0,35.0,437500.0,,Đường Tạ Quang Bửu,Phường 5,Quận 8,Hồ Chí Minh,True,Đường Tạ Quang Bửu
CHO THUÊ NHÀ MẶT TIỀN TẠ QUANG BỬU QUẬN 8 THUÊ 35TR,Giá: 25 triệu/tháng,Diện tích: 160 m²,"Đường Phùng Văn Cung, Phường 7, Phú Nhuận, Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,160.0,25.0,156250.0,,Đường Phùng Văn Cung,Phường 7,Quận Phú Nhuận,Hồ Chí Minh,True,Đường Phùng Văn Cung
"CHÍNH CHỦ CHO THUÊ MB MẶT TIỀN TT PHÚ NHUẬN, DT 160M2, THÍCH HỢP LÀM VĂN PHÒNG, SPA, NAIL, SALON...",Giá: 17 triệu/tháng,Diện tích: 100 m²,"Dự án Cát Lái Invesco, Đường 35, Phường Cát Lái, Quận 2, Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,100.0,17.0,170000.0,705/3,Hẻm 705 Nguyễn Thị Định,Phường Cát Lái,Thủ Đức,Hồ Chí Minh,True,Đường Nguyễn Thị Định
SANG NHƯỢNG CỬA HÀNG BÁN QUÁN ĂN + BIA HƠI - KÈM TOÀN BỘ ĐỒ DÙNG BUÔN BÁN,Giá: 93 triệu/tháng,Diện tích: 326 m²,"Đường Nguyễn Oanh, Phường 17, Quận Gò Vấp, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,326.0,93.0,285276.0736196319,16,Đường Nguyễn Oanh,Phường 7,Quận Gò Vấp,Hồ Chí Minh,True,Đường Nguyễn Oanh
"VĂN PHÒNG 238M2-326-674M2, MT NGUYỄN OANH, P.17, QUẬN GÒ VẤP",Giá: 65 triệu/tháng,Diện tích: 2000 m²,"Đường Quốc Lộ 1A, Xã Tân Kiên, Huyện Bình Chánh, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,2000.0,65.0,32500.0,,Đường Quốc Lộ 1A,Xã Tân Kiên,Huyện Bình Chánh,Hồ Chí Minh,True,Đường Quốc Lộ 1A
KHO XƯỞNG 2000M2 MẶT TIỀN QUỐC LỘ 1A CONTAINER,"Giá: 7,5 triệu/tháng",Diện tích: 30 m²,"105, Đường Trần Văn Đang, Phường 9, Quận 3, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,30.0,7.5,250000.0,105T,Đường Trần Văn Đang,Phường 11,Quận 3,Hồ Chí Minh,True,Đường Trần Văn Đang
"CHO THUÊ NHÀ MẶT TIỀN KINH DOANH, VỪA Ở VỪA KINH DOANH ĐƯỢC",Giá: 10 triệu/tháng,Diện tích: 70 m²,"Cù Chính Lan, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,70.0,10.0,142857.14285714287,,,Phường Chính Gián,Quận Thanh Khê,Đà Nẵng,True,Đường 
"MẶT BẰNG LÔ GÓC CÙ CHÍNH LAN, 2 MẶT TIỀN KHU ĐÔNG ĐÚC, HỢP MỞ CAFE",Giá: 25 triệu/tháng,Diện tích: 200 m²,"Bình Lợi, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,200.0,25.0,125000.0,,Cầu Bình Lợi,Phường 13,Quận Bình Thạnh,Hồ Chí Minh,True,Đường Cầu Bình Lợi
MẶT BẰNG GÓC - MẶT TIỀN ĐƯỜNG BÌNH LỢI,Giá: 220 triệu,Diện tích: 574 m²,"Đường Kinh Dương Vương, Phường 13, Quận 6, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,574.0,220.0,383275.2613240418,,Đường Kinh Dương Vương,Phường 13,Quận 6,Hồ Chí Minh,True,Đường Kinh Dương Vương
NHÀ MTKD KINH DƯƠNG VƯƠNG 14X41 | TRỆT - 1 LẦU | GIÁ 220TR,Giá: 18 triệu/tháng,Diện tích: 72 m²,"Đường C18, Phường 12, Tân Bình, Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,72.0,18.0,250000.0,,Đường C18,Phường 12,Quận Tân Bình,Hồ Chí Minh,True,Đường C18
"CHÍNH CHỦ CHO THUÊ MBKD 2 MẶT TIỀN NGAY KHU K300, HOÀNG HOA THÁM, TÂN BÌNH",Giá: 60 triệu/tháng,Diện tích: 150 m²,"Đường Kha Vạn Cân, Phường Linh Tây (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,150.0,60.0,400000.0,,Đường Kha Vạn Cân,Phường Linh Tây,Thủ Đức,Hồ Chí Minh,True,Đường Kha Vạn Cân
"CHO THUÊ TÒA NHÀ 1 HẦM 1 LỬNG 4 LẦU MT 5,2×30 HC ĐẦY ĐỦ.GIÁ 60TR",Giá: 18 triệu/tháng,Diện tích: 40 m²,"Đường Lê Văn Miễn, Phường Thảo Điền (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,40.0,18.0,450000.0,2,Đường Lê Văn Miến,Phường Thảo Điền,Thủ Đức,Hồ Chí Minh,True,Đường Lê Văn Miến
MẶT BẰNG MẶT TIỀN THẢO ĐIỀN QUẬN 2 DT 40M2 KHU SẦM UẤT TIỆN KINH DOANH,Giá: 75 triệu/tháng,Diện tích: 1200 m²,"Phan Huy ích, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,1200.0,75.0,62500.0,,Hẻm 31 Phan Huy Ích,Phường 15,Quận Tân Bình,Hồ Chí Minh,True,Đường Phan Huy Ích
CHO THUÊ MẶT TIỀN KHO XƯỞNG 1200M2 PHAN HUY ÍCH,Giá: 42 triệu/tháng,Diện tích: 600 m²,"Lê Trọng Tấn, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,600.0,42.0,70000.0,,Hẻm 123 Lê Trọng Tấn,Phường Sơn Kỳ,Quận Tân Phú,Hồ Chí Minh,True,Đường Lê Trọng Tấn
"CHO THUÊ MB THƯƠNG MẠI 856 ÂU CƠ NGANG 70M, TỔNG 10.500M2 VỊ TRÍ SIÊU ĐẸP, HIỆN TRẠNG ST COOP MART",Giá: 150 triệu,Diện tích: 800 m²,"Trường Sơn, Phường 15, Quận 10, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,800.0,150.0,187500.0,,Đường Trường Sơn,Phường 15,Quận 10,Hồ Chí Minh,True,Đường Trường Sơn
CHO THUÊ GÓC 2MT NGANG 25M LỀ SIÊU RỘNG,"Giá: 12,5 triệu/tháng",Diện tích: 65 m²,"Phố Trung Kính, Phường Yên Hòa, Cầu Giấy, Hà Nội",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,65.0,12.5,192307.6923076923,,Phố Trung Kính,Phường Yên Hòa,Quận Cầu Giấy,Hà Nội,True,Phố Trung Kính
"CC CHO THUÊ SÀN VP, CỬA HÀNG KD SỐ 14 NGÕ 88 TRUNG KÍNH, ĐƯỜNG ĐÔI, Ô TÔ ĐỖ CỬA, CÁCH MP 30M",Giá: 340 triệu,Diện tích: 390 m²,"Đường Nguyễn Huệ, Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,390.0,340.0,871794.8717948718,,Đường Nguyễn Huệ,Phường Bến Nghé,Quận 1,Hồ Chí Minh,True,Đường Nguyễn Huệ
SIÊU HÀNG HIẾM NHÀ MẶT TIỀN NGUYỄN HUỆ PHÁP LÝ CÁ NHÂN CHO THUÊ NHANH,Giá: 99 triệu/tháng,Diện tích: 350 m²,"Hồ Tùng Mậu, Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,350.0,99.0,282857.14285714284,,Đường Hồ Tùng Mậu,Phường Bến Nghé,Quận 1,Hồ Chí Minh,True,Đường Hồ Tùng Mậu
"THUÊ MT HẺM HỒ TÙNG MẬU, ĐỐI DIỆN BITEXCO, NGANG 5M, 5 TẦNG, GIÁ 99TR",Giá: 25 triệu/tháng,Diện tích: 42 m²,"Nguyễn Nhữ Lãm, Phường Phú Thọ Hòa, Quận Tân Phú, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,42.0,25.0,595238.0952380953,,Đường Nguyễn Nhữ Lãm,Phường Phú Thọ Hòa,Quận Tân Phú,Hồ Chí Minh,True,Đường Nguyễn Nhữ Lãm
️ CHO THUÊ NHÀ MẶT TIỀN KINH DOANH.,Giá: 120 triệu,Diện tích: 500 m²,"Đường Lý Tự Trọng, Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,500.0,120.0,240000.0,,Đường Lý Tự Trọng,Phường Bến Nghé,Quận 1,Hồ Chí Minh,True,Đường Lý Tự Trọng
"SIÊU PHẨM! GÓC 2 MT LÝ TỰ TRỌNG, 6 TẦNG THANG MÁY-CÁCH NGUYỄN HUỆ 100M",Giá: 25 triệu/tháng,Diện tích: 120 m²,"Thoại Ngọc Hầu, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,120.0,25.0,208333.3333333333,,Hẻm 2 Thoại Ngọc Hầu,Phường Hòa Thạnh,Quận Tân Phú,Hồ Chí Minh,True,Đường Thoại Ngọc Hầu
MBKD THOẠI NGỌC HẦU- CHO THUÊ NHÀ MẶT TIỀN,Giá: 35 triệu/tháng,Diện tích: 60 m²,"Lê Quang Định, Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,60.0,35.0,583333.3333333334,,Đường Lê Quang Định,Phường 11,Quận Bình Thạnh,Hồ Chí Minh,True,Đường Lê Quang Định
SANG NHƯỢNG NHÀ HÀNG HẢI SẢN HÒN THƠM ĐANG HOẠT ĐỘNG,Giá: 15 triệu/tháng,Diện tích: 65 m²,"Đường Nguyễn Ái Quốc, Phường Tân Tiến, Thành phố Biên Hòa, Đồng Nai",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,65.0,15.0,230769.2307692308,,Đường Nguyễn Ái Quốc,Phường Tân Tiến,Biên Hòa,Đồng Nai,True,Đường Nguyễn Ái Quốc
CHO THUÊ CĂN GÓC MẶT TIỀN ĐƯỜNG NAQ - GIÁ THUÊ,Giá: 20 triệu/tháng,Diện tích: 100 m²,"Lũy Bán Bích , Phường Phú Thọ Hòa, Quận Tân Phú, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,100.0,20.0,200000.0,,Đường Lũy Bán Bích,Phường Phú Thọ Hòa,Quận Tân Phú,Hồ Chí Minh,True,Đường Lũy Bán Bích
CHO THUÊ NHÀ NGUYÊN CĂN MẶT TIỀN LUỸ BÁN BÍCH Q.TÂN PHÚ NGÂY NGÃ TƯ,"Giá: 3,5 triệu/tháng",Diện tích: 24 m²,"32 Võ Thị Phải . Thới an . quận 12, Đường Võ Thị Phải, Phường Thới An, Quận 12, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,24.0,3.5,145833.33333333334,30D,Hẻm 453 Lê Văn Khương,Phường Thới An,Quận 12,Hồ Chí Minh,True,Đường Lê Văn Khương
CẦN SANG LẠI MB MẶT TIỀN ĐƯỜNG VÕ THỊ PHẢI,Giá: 15 triệu/tháng,Diện tích: 300 m²,"Đường tỉnh 743C, Phường Bình An, Thành phố Dĩ An, Bình Dương",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,300.0,15.0,50000.0,,Đường Tỉnh743a,Phường Bình Thắng,Dĩ An,Bình Dương,True,Đường Tỉnh743a
CHO THUÊ XƯỞNG MẶT TIỀN DT743 300M2 NGANG 8M,Giá: 20 triệu/tháng,Diện tích: 84 m²,"Đường Lũy Bán Bích, Phường Phú Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,84.0,20.0,238095.2380952381,,Đường Lũy Bán Bích,Phường Phú Thạnh,Quận Tân Phú,Hồ Chí Minh,True,Đường Lũy Bán Bích
"MTKD ĐƯỜNG LŨY BÁN BÍCH, 4 X 21M - CÓ GÁC",Giá: 45 triệu/tháng,Diện tích: 100 m²,"Đường Tô Hiến Thành, Phường 15, Quận 10, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,100.0,45.0,450000.0,,Đường Tô Hiến Thành,Phường 15,Quận 10,Hồ Chí Minh,True,Đường Tô Hiến Thành
"CHO THUÊ CỬA HÀNG, KI ỐT TẠI VIỆT NAM",Giá: 245 triệu,Diện tích: 94 m²,"Đường Nguyễn Văn Thương, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,94.0,245.0,2606382.9787234045,,Đường Nguyễn Văn Thương,Phường 25,Quận Bình Thạnh,Hồ Chí Minh,True,Đường Nguyễn Văn Thương
CHO THUÊ TÒA NHÀ CAO CẤP MT NGUYỄN VĂN THƯƠNG Q.BT 6 TẦNG 245TR/TH,Giá: 180 triệu,Diện tích: 1500 m²,"Đường Số , Phường Tân Quy, Quận 7, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,1500.0,180.0,120000.0,,Hẻm 83 Đường Số 15,Phường Tân Quy,Quận 7,Hồ Chí Minh,True,Đường Số 15
CHO THUÊ KHO 1500M2 MẶT TIỀN ĐƯỜNG SỐ TÂN QUY Q7,Giá: 35 triệu/tháng,Diện tích: 500 m²,"thành thái , Phường 14, Quận 4, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,500.0,35.0,70000.0,4D,Đường Thành Thái,Phường 14,Quận 10,Hồ Chí Minh,True,Đường Thành Thái
MT VÍP CƯ XÁ ĐỒNG TIẾN HẦM 4 TẦNG 400M SÀN SƯ DỤNG GIÁ 35TR NHÀ MỚI,Giá: 10 triệu/tháng,Diện tích: 100 m²,"Đường Nguyễn Thông, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,100.0,10.0,100000.0,,Đường Nguyễn Thông,Phường An Hải Tây,Quận Sơn Trà,Đà Nẵng,True,Đường Nguyễn Thông
NHÀ CHO THUÊ 2 TẦNG MẶT TIỀN NGUYỄN THÔNG – 10 TR/TH,Giá: 12 triệu/tháng,Diện tích: 22 m²,"Bạch Đằng, Phường 3, Quận Gò Vấp, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,22.0,12.0,545454.5454545454,,Đường Bạch Đằng,Phường 3,Quận Gò Vấp,Hồ Chí Minh,True,Đường Bạch Đằng
CHO THUÊ MẶT BẰNG MẶT TIỀN BẠCHĐẰNG HƯỚNG RA SÂNBAY_DT:22M2(CHO Ở LẠI),Giá: 9 triệu/tháng,Diện tích: 81 m²,"Lê Quang Đạo, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,81.0,9.0,111111.11111111112,,Đường Lê Quang Đạo,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,True,Đường Lê Quang Đạo
CHO THUÊ MẶT BẰNG - MẶT TIỀN LÊ QUANG ĐẠO - 9TR/THÁNG,Giá: 60 triệu/tháng,Diện tích: 144 m²,"Đường Trần Hưng Đạo, Phường 1, Quận 5, Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,144.0,60.0,416666.6666666667,,Đường Trần Hưng Đạo,Phường 1,Quận 5,Hồ Chí Minh,True,Đường Trần Hưng Đạo
CẦN SANG QUÁN CƠM + QUÁN NHẬU TẠI QUẬN 5,Giá: 20 triệu/tháng,Diện tích: 120 m²,"Mặ Tiền Kinh Doanh sầm uất, Nguyễn Oanh, Phường 6, Quận Gò Vấp, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,120.0,20.0,166666.66666666666,,Nguyễn Oanh,Phường 6,Quận Gò Vấp,Hồ Chí Minh,True,Đường Nguyễn Oanh
MẶT TIỀN K.DOANH DÂN CƯ ĐÔNG ĐÚC VỊ TRÍ ĐẸP NGUYỄN OANH 120M2 GIÁ MỀM,Giá: 85 triệu/tháng,Diện tích: 400 m²,"Đường Nguyễn Gia Trí, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,400.0,85.0,212500.0,,Đường Nguyễn Gia Trí,Phường 25,Quận Bình Thạnh,Hồ Chí Minh,True,Đường Nguyễn Gia Trí
"CĂN GÓC 2 MT NGUYỄN GIA TRÍ, BÌNH THẠNH. TRỆT 3 LẦU, DTSD 400M2",Giá: 23 triệu/tháng,Diện tích: 125 m²,"Thoại Ngọc Hầu , Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,125.0,23.0,184000.0,,Hẻm 2 Thoại Ngọc Hầu,Phường Hòa Thạnh,Quận Tân Phú,Hồ Chí Minh,True,Đường Thoại Ngọc Hầu
CHO THUÊ MT KINH DOANH VỊ TRÍ SẦM UẤT,Giá: 30 triệu/tháng,Diện tích: 150 m²,"Phổ Quang, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,150.0,30.0,200000.0,,Đường Phổ Quang,Phường 2,Quận Tân Bình,Hồ Chí Minh,True,Đường Phổ Quang
"MT PHỔ QUANG, DT 6X25M TRỆT, 2 LẦU, GẦN BỆNH VIỆN, SÂN BAY, TỰ DO KD.",Giá: 20 triệu/tháng,Diện tích: 84 m²,"Lũy Bán Bích , Phường Phú Thọ Hòa, Quận Tân Phú, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,84.0,20.0,238095.2380952381,,Đường Lũy Bán Bích,Phường Phú Thọ Hòa,Quận Tân Phú,Hồ Chí Minh,True,Đường Lũy Bán Bích
CHO THUÊ MT KINH DOANH GIÁ TỐT,Giá: 8 triệu/tháng,Diện tích: 30 m²,"Khu Tân Hương, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,30.0,8.0,266666.6666666667,,,Phường Tân Quý,Quận Tân Phú,Hồ Chí Minh,True,Đường 
"MTKD KHU TÂN HƯƠNG, VỈA HÈ RỘNG",Giá: 15 triệu/tháng,Diện tích: 60 m²,"Phan Tứ, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,60.0,15.0,250000.0,,Phan Tứ,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,True,Đường Phan Tứ
CHO THUÊ MB 2 MẶT TIỀN PHAN TỨ_ 60M2_ KINH DOANH TỐT,Giá: 8 triệu/tháng,Diện tích: 16 m²,"Văn Cao, Phường Phú Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,16.0,8.0,500000.0,,,Phường Phú Thạnh,Quận Tân Phú,Hồ Chí Minh,True,Đường 
MTKD ĐƯỜNG VĂN CAO - 2 LẦU (Q.TÂN PHÚ),Giá: 60 triệu/tháng,Diện tích: 190 m²,"Đường Cách Mạng Tháng Tám, Phường Phú Cường, Thủ Dầu Một, Bình Dương",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,190.0,60.0,315789.4736842105,,Đường Cách Mạng Tháng Tám,Phường Phú Cường,Thủ Dầu Một,Bình Dương,True,Đường Cách Mạng Tháng Tám
